"id","part","chapter_no","chapter_title","title","place","year","quote","quote_source","caption","media","status"
"w001","One","1","He Came Wrapped in Something Sacred","The blessing after the ultrasound","","","Walker would be greatly missed in the pre-existence. He was a valiant spirit. His mother is the most important woman to him until marriage. He would make a significant contribution to the world and to those that know him.","Chapter One","Tamara's handwritten record of the blessing given the day of the ultrasound.","Walker Notes from TL's blessing.HEIC","ready"
"w002","One","1","He Came Wrapped in Something Sacred","The tip of the spear","","","As I pronounced it, I described a vision of Walker in the shape of a triangle, like the tip of a spear: Walker at the very head, with a number beyond counting following behind him.","Chapter One","The tip-of-the-spear artwork made by Tamara's brother. Not yet in the archive.","","needs-media"
"w003","One","1","He Came Wrapped in Something Sacred","Anthon Walker McFadden","","2005","His name was Anthon Walker McFadden, but we called him Walker, and there was never a name that fit a boy better. Walker was the light in every room he entered.","Chapter One","A newborn photograph of Walker, brought home from the hospital. Not yet in the archive.","","needs-media"
"w004","One","","Fifty-Four More Feet","Fifty-four more feet","Mount Sterling, Utah","","And as I knelt there in the weeds, leaning on the faith that was planted in me all those years ago in Hawaii at the bottom of Honolua Bay, pleading, I heard, as clearly as any conversation I have ever had in my life, a voice behind me. I thought, in that moment, that it was my neighbor Steve, walking up behind me. The voice said: ""54 more feet.""","Fifty-Four More Feet","Rob telling the well story on video, the framed peppercorn gravel with its brass plaque, and the house at The Acres.","The Well Story.mp4|Walker 254 Ft 1.HEIC|Walker 254 Ft 2.HEIC|Walker Well Story 1.JPG|Walker the well story house.JPG","ready"
"w005","One","2","Who Walker Was","The ceiling of the man cave","","","It mattered enough to me that I covered the ceiling of our man cave with it, 920 albums from that golden era of rock, looking down on the room like a sky made of records.","Chapter Two","The man cave ceiling, covered with 920 classic rock albums.","Walker Mancave albums 1.JPG|Walker Mancave albums 2.JPG|Walker Mancave albums 3.JPG|Walker Mancave albums 4.JPG|Walker Photos to be Printed/24x36 Cave.JPG","ready"
"w006","One","3","Washington, Wildcats, the River, and a Baptism","A junior Wildcat at eight","North Bend, Washington","","I think of him at 8 years old, a junior Wildcat in North Bend, Washington, with a little butch haircut so blond his head seemed to glow white under the stadium lights.","Chapter Three","Walker in his junior Wildcats gear, with his team and his coaches.","Walker's Jr Wildcat Coaches.jpg|Walker and his Jr Wildcats Team with Coaches.jpg|Walker JR Wildcats after win.jpg|Walker makes a tackle as a Jr Wildcat.jpg|Walker as a Jr Wildcat with TL.jpg","ready"
"w007","One","3","Washington, Wildcats, the River, and a Baptism","The first jump off Meadowbrook Bridge","North Bend, Washington","","I counted him down, three, two, one, and he jumped at the exact right beat, zero hesitation. I remember the pride that washed over me, watching this boy who simply loved being alive, who had grown up watching his brothers leap from this exact spot and now finally got his turn.","Chapter Three","Walker's first bridge jump, one week after he turned nine, plus later jumps from the same bridge.","Walker Bridge Jump at 9 years old.M4V|Walker Jumps off of Meadowbrook Bridge.m4v|Walker and Carter on Meadowbrook Bridge.jpg|Walker jumps Meadowbrook.PNG","ready"
"w008","One","3","Washington, Wildcats, the River, and a Baptism","The log above the falls at North Fork","North Bend, Washington","","There was an old fallen tree 30 feet above the river, and Walker would walk right out to the middle of that log and leap into the spot where the falls came down. He just loved the experience of it.","Chapter Three","Walker crossing the fallen log and jumping at North Fork.","Walker crossing the log at North Fork.jpg|Walker Cliff Jumping at North Fork.jpg|Walker and Simon swimming at North Fork.jpg|Walker and Bros N Fork River.jpg","ready"
"w009","One","3","Washington, Wildcats, the River, and a Baptism","The cookies and the invitation to Coach Norah","North Bend, Washington","","Coach Norah looked perplexed, but only for a second. Then this tall, no-excuses man took a knee, lowered himself until he was eye to eye with my 8-year-old son, and said, ""So you're getting baptized. I'm proud of you. And I want you to know, I wouldn't miss that for anything. We'll be there.""","Chapter Three","Coach Mark Norah, and the baptismal invitation Tamara handed out along the sideline.","Walker Coach Mark Norah 1.JPG|Walker Coach Mark Norah 2.JPG|Walkers baptismal invitation that TL shared with his football team.JPG","ready"
"w010","One","3","Washington, Wildcats, the River, and a Baptism","Walker's baptism","North Bend, Washington","","That coming Saturday, there were about 40 people at Walker's baptism. Roughly half of them came from his football team, coaches, teammates, and their parents, somewhere around 20 in all, there to support an 8-year-old boy on the most important day of his young life.","Chapter Three","Walker on the day of his baptism, with six of his teammates gathered around him.","Walker's Baptism.png","ready"
"w011","One","4","Australia, Finding His Tribe","The first rugby practice","Melbourne, Australia","","I sat on the sideline and watched that whole first practice. When it was over, Coach Rob came straight over to me. ""If you'll let me,"" he said, ""I could really turn Walker into a rugby player.""","Chapter Four","Walker's first year of rugby with the Southport Pirates, and Coach Rob Allison.","Walker Rugby Pics/Walker Rugby 1.jpg|Walker Rugby Pics/Walker Rugby 11_Scrum.jpg|Walker Rugby Pics/Walker Rugby 28_Coach Rob.jpg|Walker Southport Pirates Team Shot.JPG|Walker with Rob Allison SPP Coach.JPG","ready"
"w012","One","4","Australia, Finding His Tribe","Winning the grand final","Melbourne, Australia","","He played U12s for the Southport Pirates, and in his very first year, his team won the grand final. To put that in American terms: it's like winning the Super Bowl your rookie season.","Chapter Four","The Southport Pirates winning the grand final, and Walker with his medal.","Walker SPP win the Grand Final.JPG|Walker winning the Grand Final in Rugby.jpg|Walker recieving his Grand Final Medel.jpg|Walker and SPP after win.JPG","ready"
"w013","One","4","Australia, Finding His Tribe","The team awards from Coach Rob","Melbourne, Australia","","But it wasn't just a team triumph. Coach Rob handed Walker multiple awards at the team level, recognition from a man who knew him and coached him.","Chapter Four","Video of the Southport Pirates awards night, and Walker with his team trophies.","Walker Awards.MOV|Walker Wins ALL the Awards.MOV|Walker being Humble.MOV|Walker Most Tenacious Player Award.JPG|Walker Southport Pirates Awards.JPG|Walker and mom holding Best Endevour Trophy.JPG","ready"
"w014","One","4","Australia, Finding His Tribe","Best on Ground","Melbourne, Australia","","And then came recognition of an entirely different kind. On the day of the grand final, the league named Walker Best on Ground, the Australian version of Most Valuable Player.","Chapter Four","Walker with his Best on Ground medal.","Walker admiring his Best on Ground award.jpg|Walker winning Best on ground_Rugby.jpg|Walker Best on Ground Medel.JPG","ready"
"w015","One","4","Australia, Finding His Tribe","The bloody nose","Melbourne, Australia","","Needless to say, Walker came running off the field in the second half with the biggest bloody nose you've ever seen.","Chapter Four","A photo of Walker with the bloody nose. Not yet in the archive.","","needs-media"
